Data Source,Indicadores del desarrollo mundial,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57,...58,...59,...60,...61,...62,...63,...64,...65,...66
Last Updated Date,44706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,274636871.50838012,333798882.68156391,467821229.05027968,522290502.79329562,738324022.34636855,1576368715.0837965,1628324022.3463666,1740167597.7653623,1858268156.424576,2042513966.4804423,2590223463.687149,2749888268.1564245,2111340782.1229055,1671173184.3575461,1582860335.1955261,1694832402.234642,1754430167.59777,1876402234.6368756,4344301675.9776564,5528813425.826951,5647605675.9568548,6386815642.4581003,7000446927.3743,3293966480.4469228,2259720670.391058,7046201117.3184299,3020670391.0614572,2471623248.0446949,2409823859.7765331,2306305827.9329629,2198156464.3430128,2267080085.0341053,2543765087.1654654,2488068336.2930741,1811377900.9557669,
,AFE,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,23538375473.504204,28120965846.354298,34084609717.753994,48736764679.085938,52175500651.53775,44133614576.653694,40083838874.773254,39461769014.961815,33372341827.83778,35760537987.437508,42104766600.217949,49339409015.975487,50476500537.724236,54915464807.803436,53727608362.152466,57092512322.980293,57543841642.675552,64319561183.006676,75727945615.926453,78236458492.745285,82910178401.191299,82226636793.401337,79977799542.783813,79853723414.733917,80379535886.116623,82770955398.701477,104382932275.48785,134086602340.47379,164317033711.69843,197152593668.82755,246161295245.42288,300635657324.07935,248348422624.94098,293882124499.58075,346212845389.28613,358687190979.13306,375081944674.82574,377955438314.56421,326225123116.74731,291219136780.013,319464693122.82135,343572301236.51935,330786852352.34277,270246620193.22284,
Afganistán,AFG,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,797400000,924500000,1080500000,989600000,1062900000,1419400000,1084300000,1354700000,1072100000,863300000,734800000,,,,,,,,,,,,,,,,,,,3873396518.1154203,4194029283.0296741,5923973939.4894037,7360392804.0470476,9891159037.4973793,10184330518.39179,8441107576.5534248,8569286770.0398798,7387764647.0288172,8007677287.9771261,8086339277.1056299,7416724393.1142683,7034026743.613368,
,AFW,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,26391724068.904999,29165383844.739067,31799446285.124603,42133631230.548058,46790689235.62162,38601724873.73037,31846733277.836113,27460395748.061401,27881369097.669392,22236918478.54443,25915671618.227917,25965984760.616009,26000721164.422543,31732872708.205978,34996749931.854477,33951109085.054756,34396527818.887108,32617127915.565975,25883914914.226067,27784041826.598454,27824569942.562729,28141788065.812229,41800152537.062065,41612035490.823563,47065189008.002502,48291983272.258072,60464662883.506874,64171317066.38826,84852272309.684677,98935988775.531845,131859115566.52718,166901609575.98608,143123961431.69092,180836731263.68475,223739323433.74197,218593508919.57751,222281731150.05258,226033768867.40076,193419341244.08496,157908466659.64832,175042226238.43646,214966660353.85779,254412874315.09753,208279238048.30045,
Angola,AGO,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,2256000000,1906000000,2020000000,3121000000,3292000000,4161400000,4243400000,4828396000,3851900000,3764700000,4302257000,5980445000,6235550000,5717790000,7099810000,7454210000,8281270000,8734464801.8600006,10539996160,13156086146.209999,19200860208.517799,22611733343.400002,34526294540.220001,57261377694.670998,48783824988,43642118667.18,53805471322.359573,56529763171.959496,60111411120.579399,63033383446.160187,44042657939.713379,31271502805.980091,36001581967.702927,34165372003.536118,30508228605.271011,20605633409.7873,
Albania,ALB,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,375300000,404100000,461100000,406000000,373400000,362900000,337000000,336300000,409200000,484200000,486900000,340300000,667300000,794400000,774800000,864600000,1123300000,697612500,792180000,956400000,1359600000,1608700000,1848090000,2290296334.1430798,2921069546.1129999,3552961514.6827507,4142215603.4090052,5429247205.6299496,7146688209.0885706,6598438373.4780054,6279139430.0663795,7007740981.2606096,6185327535.8375731,6159382111.7753325,6562951490.6342344,5351583367.8255272,5700813018.9323111,6549610684.310483,7334165155.145071,7597487229.1417885,6307664723.9346924,
Andorra,AND,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2296974747.7118878,,
El mundo árabe,ARB,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,143573051471.94363,171095803049.6933,215609938202.61194,267749489807.39178,322987963036.7865,305766282527.17377,291887933626.91547,276637663516.68799,234426438632.95572,196472017210.41638,197192048129.63339,203962827922.72894,221267881975.98495,250152540598.7572,296542020058.02594,301147154216.38098,278791155136.62286,259939845933.32104,280959734127.48071,299996818601.74127,310468408283.79089,296088684529.05688,293493125875.20648,323651103442.00153,316199395792.45453,327039612414.3158,368016706759.55347,454986899924.78394,558661796530.46985,655198566780.86658,809062471800.85742,1019305747975.3781,913934506173.92932,993227733362.91553,1086760789530.7382,1219705105456.4363,1295975677998.542,1357014577414.0874,1204570654649.1108,1084987075467.1726,1147684081706.9055,1246772617832.3384,1280652406483.0195,1049643441742.775,
Emiratos Árabes Unidos,ARE,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,4058000000,5643000000,6048000000,10486000000,15999000000,16495000000,12142000000,12216000000,12406000000,11281000000,11702000000,12633000000,12932000000,13355000000,13100000000,17572000000,24077634249.371441,27579629372.76498,34312430277.09462,35039569701.315826,40120789491.578171,49143879017.470093,52335695781.979904,46468565966.373802,48036724583.438499,40679614586.401505,23867070000,29804090000,40827220000,46414160000,54669095826.854004,67771052886.056,82901868928.704605,63532822514.525795,86092220688.183807,106727176904.11111,99396394105.162399,105893333594.436,95112247276.049805,91086748083.830902,90436820509.473404,109707500927.88489,111748768383.51279,90777896050.586502,66190963263.395599,
Armenia,ARM,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304329250,447285682.638888,763860761.25478494,939928047.93053603,1018358284.774413,1044998074.1828123,941973576.37435687,1030659258.7279116,1123379892.788851,1261235746.4100204,1602744849.8908429,2008567017.20226,2520290987.850811,3035898215.2370071,4334334440.1721382,5513086608.6682892,4442602404.3070068,5127970681.3901682,5623304799.5524778,5823562500.2111111,6053636513.2695789,6177955730.9838142,4876717430.268981,5071408346.0603819,6260590852.1718369,7351211967.0470238,8273007005.8262568,5674894263.1903276,
Samoa Americana,ASM,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua y Barbuda,ATG,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,44000000,49600000,80600000,135800000,150200000,158600000,124000000,186300000,218300000,331007407.4074074,344518518.51851809,316859259.25925928,385596296.29629618,388374074.07407379,404748148.1481483,419822222.22222269,424548148.14814812,452740740.74074084,470992592.59259272,499377777.77777809,504151851.851852,523844444.44444418,564462062.96296263,558501925.92592645,530043333.33333337,523974814.81481522,582057875.92592645,648961137.03703678,742719443.703704,891863890.37037039,1010828402.5925926,1029399105.5555552,770403173.70370364,721555325.18518543,691340992.22222161,749227458.88888896,774668917.40740764,999596392.47834134,957408862.9042201,1038681913.653281,1062695837.0574175,1235431986.5108871,1300965241.8317468,796791797.97826087,
